 player, player_id, team,min,max,awb,count,week
"Bernard, Giovani",11193,TBB,1,1,1,1,0
"Succop, Ryan",9686,TBB,1,1,1,1,0
"Sanders, Jason",13832,MIA,1,1,1,1,0
"Wilson, Albert",11890,MIA,1,1,1,1,0
"Allen, Kyle",13879,WAS,0,3,1,2,0
"Ficken, Sam",13564,TEN,1,1,1,1,0
"Gano, Graham",9694,NYG,1,1,1,1,0
"McLaughlin, Chase",14717,CLE,1,1,1,1,0
"Burkhead, Rex",11182,HOU,1,1,1,1,0
"Cole, Keelan",13412,NYJ,0,2,1,3,0
"Green, A.J.",10261,ARI,1,1,1,1,0
"Moreau, Foster",14239,LVR,1,1,1,1,0
"Elliott, Jake",13303,PHI,1,1,1,1,0
"Raymond, Kalif",13066,DET,0,2,0.8,2,0
"Bourne, Kendrick",13418,NEP,0,3,0.8,1,0
"Slye, Joey",14600,HOU,0,3,0.8,2,0
"Benjamin, Eno",14801,ARI,0,2,0.8,2,0
"Mills, Davis",15252,HOU,0,2,0.8,2,0
"Carlson, Daniel",13718,LVR,0,3,0.7,2,0
"Cohen, Tarik",13290,CHI,0,1,0.7,2,0
"Nordin, Quinn",15516,NEP,0,1,0.7,2,0
"Myers, Jason",12437,SEA,0,1,0.6,4,0
"Johnson, Duke",12157,FA,0,1,0.5,1,0
"Hopkins, Dustin",11387,WAS,0,1,0.5,1,0
"Graham, Jimmy",9925,CHI,0,1,0.5,1,0
"Crosby, Mason",8742,GBP,0,2,0.5,2,0
"Ahmed, Salvon",14811,MIA,0,1,0.3,1,0
"Herbert, Khalil",15271,CHI,0,1,0.2,1,0
"Tebow, Tim",9862,FA,0,0,0,0,0
"Hubbard, Chuba",15261,CAR,0,0,0,0,0
"Zaccheaus, Olamide",14592,ATL,0,0,0,0,0
"Woodside, Logan",13846,TEN,0,0,0,0,0
"Allen, Brandon",12621,CIN,0,0,0,0,0
"Atwell, Tutu",15301,LAR,0,0,0,0,0
"Blankenship, Rodrigo",14912,IND,0,0,0,0,0
"Duvernay, Devin",14847,BAL,0,0,0,0,0
"Folk, Nick",8851,NEP,0,0,0,0,0
"Hollister, Jacob",13391,JAC,0,0,0,0,0
"Howard, O.J.",13188,TBB,0,0,0,0,0
"Johnson, David",12171,HOU,0,0,0,0,0
"Smith, Kaden",14142,NYG,0,0,0,0,0
"Ward, Greg",13864,PHI,0,0,0,0,0
"Joseph, Greg",13898,MIN,0,0,0,0,0
"Love, Jordan",14782,GBP,0,0,0,0,0
"Vizcaino, Tristan",14650,LAC,0,0,0,0,0
"McManus, Brandon",11947,DEN,0,0,0,0,0
"Miller, Scott",14280,TBB,0,0,0,0,0
"Reynolds, Josh",13168,TEN,0,0,0,0,0
"Santos, Cairo",11945,CHI,0,0,0,0,0
"Sargent, Mekhi",15269,TEN,0,0,0,0,0
"Tremble, Tommy",15332,CAR,0,0,0,0,0
"Zuerlein, Greg",10868,DAL,0,0,0,0,0
